Barracuda CloudGen Firewall,Model Revision,Part Number,EoS,EoL,Successor Model,Source URL,Vendor
SC1,Rev. A,BNGFSC1a,2020-04-30,2023-12-31,SC21,https://campus.barracuda.com/product/cloudgenfirewall/doc/71860841/barracuda-nextgen-and-cloudgen-firewall-appliances-eos-eol-definitions/,Barracuda Campus
"SC20, SC21",Rev. A,BNGFSC20a/SC21a,not set,not set,-,https://campus.barracuda.com/product/cloudgenfirewall/doc/71860841/barracuda-nextgen-and-cloudgen-firewall-appliances-eos-eol-definitions/,Barracuda Campus
"SC22, SC23 (3G/UMTS)",Rev. A,BNGFSC22a/SC23a,2022-02-28,2025-02-28,SC24a/b;SC25a/b,https://campus.barracuda.com/product/cloudgenfirewall/doc/71860841/barracuda-nextgen-and-cloudgen-firewall-appliances-eos-eol-definitions/,Barracuda Campus
"SC24, SC25 (4G/LTE, EMEA)",Rev. A,BNGFSC24a/SC25a,2023-05-31,2026-05-31,SC24b;SC25b,https://campus.barracuda.com/product/cloudgenfirewall/doc/71860841/barracuda-nextgen-and-cloudgen-firewall-appliances-eos-eol-definitions/,Barracuda Campus
Rev. B,BNGFSC24b/SC25b,not set,not set,-,,https://campus.barracuda.com/product/cloudgenfirewall/doc/71860841/barracuda-nextgen-and-cloudgen-firewall-appliances-eos-eol-definitions/,Barracuda Campus
"SC26, SC27 (4G/LTE, NA)",Rev. A,BNGFSC26a/SC27a,2022-12-01,2025-12-01,SC24b;SC25b,https://campus.barracuda.com/product/cloudgenfirewall/doc/71860841/barracuda-nextgen-and-cloudgen-firewall-appliances-eos-eol-definitions/,Barracuda Campus
"SC28, SC29 (4G/LTE, Verizon)",Rev. A,BNGFSC28a/SC29a,2022-12-01,2025-12-01,SC24b;SC25b,https://campus.barracuda.com/product/cloudgenfirewall/doc/71860841/barracuda-nextgen-and-cloudgen-firewall-appliances-eos-eol-definitions/,Barracuda Campus
"SC30, SC31 (WiFi)",Rev. A,BNGFSC30a/SC31a,not set,not set,-,https://campus.barracuda.com/product/cloudgenfirewall/doc/71860841/barracuda-nextgen-and-cloudgen-firewall-appliances-eos-eol-definitions/,Barracuda Campus
"SC34 (4G/LTE), SC35 (4G/LTE, WiFi)",Rev. A,BNGFSC34a/SC35a,not set,not set,-,https://campus.barracuda.com/product/cloudgenfirewall/doc/71860841/barracuda-nextgen-and-cloudgen-firewall-appliances-eos-eol-definitions/,Barracuda Campus
F10,Rev. A,BNGF10a,2012-11-30,2017-11-30,F12 Rev. A,https://campus.barracuda.com/product/cloudgenfirewall/doc/71860841/barracuda-nextgen-and-cloudgen-firewall-appliances-eos-eol-definitions/,Barracuda Campus
