Model,EOSL Date,Source URL,Vendor
Thunder 9580 V,2013-01-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Thunder 9585V,2013-01-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Thunder 9520V,2013-01-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Thunder 9570V,2013-01-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Lightning 9970V,2013-01-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Lightning 9980V,2013-01-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
SMU 200,2013-01-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
SA48 RAID and Expansion enclosures,2013-03-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Foundry 8X10G,2013-05-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Fujitsu XG2000,2013-05-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
RC16TB RAID Controller and drives,2013-05-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
RC16SA RAID Controller and drives,2013-05-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
DS16EXP Expansion enclosure,2013-05-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
SMS 100,2013-06-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
NAS Blade for USP,2013-07-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
HNAS 2000 Series,2013-12-03,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
HNAS 2100,2013-12-03,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
HNAS 2200,2013-12-03,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
RC12C RAID Controller and Drives,2013-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
HNAS SMU 200,2014-06-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Titan 3101,2014-07-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Titan 3110,2014-07-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Titan 3101-F,2014-07-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Titan 3110-F,2014-07-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
NSC55,2014-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
RC12 RAID Controller and Drives,2014-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
BSD 1000,2015-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
RS12C RAID Controller and drives,2015-10-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
RS12T RAID Controller and drives,2015-10-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
RS24C RAID Controller and drives,2015-10-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
RS60C RAID Controller and drives,2015-10-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
AMS 200,2015-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
AMS 500,2015-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
AMS 1000,2015-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
WMS100,2015-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
HNAS 3100,2016-07-05,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Titan 3200,2016-11-18,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
SMU 300,2016-11-19,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Compute Blade 320 (CB 320),2017-05-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
AMS 2500,2017-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
AMS 2100,2018-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
AMS 2300,2018-09-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
HNAS 3200,2018-11-18,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
CR 220,2018-11-18,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
HNAS SMU 300,2018-11-19,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
520H A1,2019-07-07,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
520H B1,2019-07-07,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
540A A1,2020-01-19,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
540A B1,2020-01-19,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
540A A1 Blade,2020-01-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
540A A1 Blade (with CNA),2020-01-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Blade Symphony 2000 (BS2000),2020-03-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
X55R3 Blade,2020-03-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
X55S Blade,2020-03-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
X57A2 Blade,2020-03-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Compute Blade 2000 (CB 2000),2020-03-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
VSP RAID 700,2020-06-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
CR 220H,2020-10-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
NAS Platform F,2020-10-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
CR 210H,2020-10-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
CR 220S,2020-10-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
NAS Platform (HNAS) 3080 G1,2020-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
NAS Platform (HNAS) 3090 G1,2020-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
NAS Platform (HNAS) 3080 G2,2020-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
NAS Platform (HNAS) 3090 G2,2020-12-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Compute Blade 520X B1 Blade (with CNA),2021-01-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Compute Blade 520H B2 Blade (with CNA),2021-01-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
NAS Platform System Management Unit (HNAS SMU) 400,2021-03-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
HNAS SMU 400,2021-03-31,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Unified Storage VM (HUS VM) HM700,2021-06-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
Unified Storage DF850S,2021-06-30,https://relutech.com/eol-eosl/hitachi/?orderby=date-asc,Hitachi
