Model,EOSL Date,Source URL,Vendor
NetApp FAS 8060,2023-01-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS2050,2016-06-30,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS3140,2017-03-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS3160,2017-03-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS3170,2017-03-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS 3170,2017-03-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS 3160,2017-03-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS6040,2017-04-30,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS6080,2017-04-30,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
DS 4243,2017-04-30,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
DS 2246,2017-04-30,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS2020,2017-06-30,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS2040,2017-12-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS3240,2018-12-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS6210,2018-12-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS6240,2018-12-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS6280,2018-12-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS3210,2018-12-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS3270,2018-12-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
V6280,2018-12-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
V6210,2018-12-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
V6240,2018-12-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
V3210,2018-12-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
V3240,2018-12-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
E2612,2019-12-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
E2624,2019-12-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
E2660,2019-12-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
V3220,2020-01-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
V3250,2020-01-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS3220,2020-01-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS3250,2020-01-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS2240-2,2020-03-30,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
NetApp FAS 8040,2023-01-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS2240-4,2020-03-30,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS2220,2020-03-30,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS2240,2020-03-30,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
V6220,2020-04-30,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
V6250,2020-04-30,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
V6290,2020-04-30,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS6250,2020-04-30,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS6290,2020-04-30,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS6220,2020-04-30,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
E5412,2021-01-28,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
E5424,2021-01-28,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
E5460,2021-01-28,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
EF540,2021-01-28,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
AFF 8020,2021-07-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
AFF 8060,2021-12-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
E2712,2022-12-11,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
E2724,2022-12-11,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
E2760,2022-12-11,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
AFF 8040,2022-12-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
SG5612,2022-12-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
SG5660,2022-12-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
AFF 8080 EX,2022-12-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS 2552,2023-01-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS 2554,2023-01-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS 8060 EX,2023-01-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS2520,2023-01-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
E5612,2023-12-14,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
E5624,2023-12-14,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
E5660,2023-12-14,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
EF560,2023-12-14,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
AFF A200,2024-05-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS 2620,2024-05-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS 2650,2024-05-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
H300E,2024-06-30,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
H500E,2024-06-30,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
H700E,2024-06-30,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
AFF A300,2026-11-30,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
FAS 8200,2026-11-30,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
NetApp FAS 8020,2023-01-31,https://relutech.com/eol-eosl/netapp/?orderby=date-asc,NetApp
