Product,Announcement,End-of-Sale Date,End-of-Support Date,Source URL,Vendor
MA-MNT-MR-11,2023-08-18,2024-02-19,2029-02-19,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MA-MNT-MR-10,2023-08-18,2024-02-19,2029-02-19,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MA-MNT-MR-9,2023-08-18,2024-02-19,2029-02-19,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MA-MNT-MR-8,2023-08-18,2024-02-19,2029-02-19,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MA-MNT-MR-7,2023-08-18,2024-02-19,2029-02-19,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MA-MNT-MR-6,2023-08-18,2024-02-19,2029-02-19,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MA-MNT-MR-5,2023-08-18,2024-02-19,2029-02-19,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MA-MNT-MR-4,2023-08-18,2024-02-19,2029-02-19,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MA-MNT-MR-3,2023-08-18,2024-02-19,2029-02-19,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MA-MNT-MR-2,2023-08-18,2024-02-19,2029-02-19,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MA-MNT-MR-1,2023-08-18,2024-02-19,2029-02-19,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MR70,2023-08-18,2024-02-19,2029-02-19,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
Z3C-HW-WW,2023-08-11,2024-02-11,2029-02-11,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GS110-8P (UK),2023-02-24,2023-08-24,2025-08-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GS110-8P (EU),2023-02-24,2023-08-24,2025-08-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GS110-8P (US),2023-02-24,2023-06-30,2025-08-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GS110-24P (UK),2023-02-24,2023-06-28,2025-08-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GS110-24P (EU),2023-02-24,2023-06-28,2025-08-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GS110-24P (US),2023-02-24,2023-06-30,2025-08-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GS110-48P (UK),2023-02-24,2023-03-09,2025-08-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GS110-48P (EU),2023-02-24,2023-08-24,2025-08-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GS110-48P (US),2023-02-24,2023-06-30,2025-08-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GS110-8 (UK),2023-02-24,2023-08-24,2025-08-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GS110-8 (EU),2023-02-24,2023-08-24,2025-08-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GS110-8 (US),2023-02-24,2023-08-24,2025-08-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GS110-48 (UK),2023-02-24,2023-08-24,2025-08-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GS110-48 (EU),2023-02-24,2023-08-24,2025-08-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GS110-48 (US),2023-02-24,2023-06-30,2025-08-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GS110-24 (UK),2023-02-24,2023-08-24,2025-08-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GS110-24 (EU),2023-02-24,2023-08-24,2025-08-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
GS110-24 (US),2023-02-24,2023-08-24,2025-08-24,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
MA-MNT-MR-H3,2022-12-19,2023-06-13,2028-06-13,https://documentation.meraki.com/General_Administration/Other_Topics/Meraki_End-of-Life_(EOL)_Products_and_Dates,Cisco Meraki
