Product,Version,Language,Platform,Region,End-of-Life,Source URL,Vendor
Deep Discovery Analyzer,6.5,English,Hardware Appliance,ALL,2022-12-21,https://success.trendmicro.com/dcx/s/solution/1105727-end-of-life-trend-micro-products-versions?language=en_US&sfdcIFrameOrigin=null,Trend Micro
Deep Discovery Analyzer,6.5,Japanese,Hardware Appliance,ALL,2023-05-31,https://success.trendmicro.com/dcx/s/solution/1105727-end-of-life-trend-micro-products-versions?language=en_US&sfdcIFrameOrigin=null,Trend Micro
Deep Discovery Analyzer,6.8,English,Hardware Appliance,ALL,2023-07-18,https://success.trendmicro.com/dcx/s/solution/1105727-end-of-life-trend-micro-products-versions?language=en_US&sfdcIFrameOrigin=null,Trend Micro
Deep Discovery Email Inspector,3.6,Japanese,Hardware Appliance,ALL,2023-05-31,https://success.trendmicro.com/dcx/s/solution/1105727-end-of-life-trend-micro-products-versions?language=en_US&sfdcIFrameOrigin=null,Trend Micro
Deep Discovery Email Inspector,5.0,English,Hardware Appliance,ALL,2022-10-31,https://success.trendmicro.com/dcx/s/solution/1105727-end-of-life-trend-micro-products-versions?language=en_US&sfdcIFrameOrigin=null,Trend Micro
Deep Discovery Inspector,5.5,English,Hardware Application,ALL,2022-12-31,https://success.trendmicro.com/dcx/s/solution/1105727-end-of-life-trend-micro-products-versions?language=en_US&sfdcIFrameOrigin=null,Trend Micro
Deep Discovery Inspector,5.5,Japanese,Hardware Application,Japan,2023-04-30,https://success.trendmicro.com/dcx/s/solution/1105727-end-of-life-trend-micro-products-versions?language=en_US&sfdcIFrameOrigin=null,Trend Micro
Deep Discovery Inspector,5.6,English,Hardware Application,ALL,2023-03-31,https://success.trendmicro.com/dcx/s/solution/1105727-end-of-life-trend-micro-products-versions?language=en_US&sfdcIFrameOrigin=null,Trend Micro
Deep Discovery Inspector,5.6 SP1,English,Hardware Application,ALL,2023-08-31,https://success.trendmicro.com/dcx/s/solution/1105727-end-of-life-trend-micro-products-versions?language=en_US&sfdcIFrameOrigin=null,Trend Micro
Hosted Email Security,2.0,English,SaaS,North America,2022-12-30,https://success.trendmicro.com/dcx/s/solution/1105727-end-of-life-trend-micro-products-versions?language=en_US&sfdcIFrameOrigin=null,Trend Micro
Hosted Email Security,2.0,English,SaaS,AMEA,2022-12-30,https://success.trendmicro.com/dcx/s/solution/1105727-end-of-life-trend-micro-products-versions?language=en_US&sfdcIFrameOrigin=null,Trend Micro
Hosted Email Security,2.0,French,SaaS,EMEA,2022-12-30,https://success.trendmicro.com/dcx/s/solution/1105727-end-of-life-trend-micro-products-versions?language=en_US&sfdcIFrameOrigin=null,Trend Micro
Hosted Email Security,2.0,Italian,SaaS,EMEA,2022-12-30,https://success.trendmicro.com/dcx/s/solution/1105727-end-of-life-trend-micro-products-versions?language=en_US&sfdcIFrameOrigin=null,Trend Micro
Hosted Email Security,2.0,Spanish,SaaS,EMEA,2022-12-30,https://success.trendmicro.com/dcx/s/solution/1105727-end-of-life-trend-micro-products-versions?language=en_US&sfdcIFrameOrigin=null,Trend Micro
Hosted Email Security,2.0,German,SaaS,EMEA,2022-12-30,https://success.trendmicro.com/dcx/s/solution/1105727-end-of-life-trend-micro-products-versions?language=en_US&sfdcIFrameOrigin=null,Trend Micro
Hosted Email Security,2.0,Portuguese,SaaS,EMEA,2022-12-30,https://success.trendmicro.com/dcx/s/solution/1105727-end-of-life-trend-micro-products-versions?language=en_US&sfdcIFrameOrigin=null,Trend Micro
InterScan Web Security Virtual Appliance,6.5 SP2,English,Software Appliance,ALL,2022-12-31,https://success.trendmicro.com/dcx/s/solution/1105727-end-of-life-trend-micro-products-versions?language=en_US&sfdcIFrameOrigin=null,Trend Micro
Portable Security,2.0,English,Windows,ALL,2022-12-31,https://success.trendmicro.com/dcx/s/solution/1105727-end-of-life-trend-micro-products-versions?language=en_US&sfdcIFrameOrigin=null,Trend Micro
Portable Security,2.0,Simplified Chinese,Windows,China,2022-12-31,https://success.trendmicro.com/dcx/s/solution/1105727-end-of-life-trend-micro-products-versions?language=en_US&sfdcIFrameOrigin=null,Trend Micro
Safe Lock,2.0,English,Windows,ALL,2023-04-30,https://success.trendmicro.com/dcx/s/solution/1105727-end-of-life-trend-micro-products-versions?language=en_US&sfdcIFrameOrigin=null,Trend Micro
