Version,Release Date,End-of-Life Date,GlobalProtect App version,End-of-Engineering Date,End-of-Sale Product,End-of-Sale Date,Resources,Last Supported OS,Platform,End-of-Support Date, ,Product,Source URL,Vendor
11.0,"November 17, 2022",2024-11-17,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
10.2,"February 27, 2022",2025-08-27,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
10.1,"May 31, 2021",2024-12-31,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
10.0,"July 16, 2020",2022-07-16,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
9.1,"December 13, 2019",2023-12-13,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
9.0-XFR (VM-Series only),"September 19, 2019",2020-09-19,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
9.0,"February 6, 2019",2022-03-31,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
8.1*,"March 1, 2018",2022-03-31,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
8.0,"January 29, 2017",2019-10-31,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
7.1,"March 29, 2016",2020-06-30,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
7.0,"June 4, 2015",2017-12-04,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
6.1,"October 25, 2014",2018-10-25,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
6.0,"January 19, 2014",2017-03-19,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
5.1 (Panorama only),"May 9, 2013",2017-05-09,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
5.0,"November 13, 2012",2016-11-13,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
4.1,"October 31, 2011",2015-04-30,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
4.0,"February 22, 2011",2014-12-31,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
3.1,"March 15, 2010",2013-06-30,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
3.0,"June 17, 2009",2010-12-17,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
2.1,"January 5, 2009",2012-01-05,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
2.0,"May 20, 2008",2009-05-20,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
1.3,"November 15, 2007",2008-11-20,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
8.1 (Cortex XDR agent),"June 25, 2023",2024-04-09,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
8.0 (Cortex XDR agent),"March 5, 2023",2023-12-19,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
7.9 CE (Cortex XDR agent),"March 19, 2023",2025-03-19,,,,,,,,,,,https://www.paloaltonetworks.com/services/support/end-of-life-announcements/end-of-life-summary,Paloalto
